date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:33:54	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Apr%202013%2016:33:51%20GMT	http://www.tampawomanshealthcenter.com/robots.txt		(from )
12:33:54	71116/71116	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Apr%202013%2016:33:51%20GMT	http://www.tampawomanshealthcenter.com/	D:/Users/tlilley/Projects/tampawomanhealthcenter/www.tampawomanshealthcenter.com/index.html	(from )
12:33:54	18213/18213	---M--	200	added ('OK')	text/css	etag:%22d77422e29bb4c91:0%22	http://www.tampawomanshealthcenter.com/Portals/_default/default.css	D:/Users/tlilley/Projects/tampawomanhealthcenter/www.tampawomanshealthcenter.com/Portals/_default/default.css	(from )
12:33:55	9970/9970	---M--	200	added ('OK')	text/css	etag:%22c030f57367decb1:0%22	http://www.tampawomanshealthcenter.com/Portals/_default/Skins/NewAlldnnskins-090417-T1372/skin.css	D:/Users/tlilley/Projects/tampawomanhealthcenter/www.tampawomanshealthcenter.com/Portals/_default/Skins/NewAlldnnskins-090417-T1372/skin.css	(from )
12:33:56	2770/2770	---M--	200	added ('OK')	text/css	etag:%22ab24f8db9bb4c91:0%22	http://www.tampawomanshealthcenter.com/Portals/0/portal.css	D:/Users/tlilley/Projects/tampawomanhealthcenter/www.tampawomanshealthcenter.com/Portals/0/portal.css	(from )
12:33:56	55774/55774	---M--	200	added ('OK')	application/x-javascript	etag:%22fc3e3b689bb4c91:0%22	http://www.tampawomanshealthcenter.com/DesktopModules/JDMENU/JS/jquery-1.2.6.min.js	D:/Users/tlilley/Projects/tampawomanhealthcenter/www.tampawomanshealthcenter.com/DesktopModules/JDMENU/JS/jquery-1.2.6.min.js	(from )
12:33:56	13092/13092	---M--	200	added ('OK')	application/x-javascript	etag:%225f49bdca9bb4c91:0%22	http://www.tampawomanshealthcenter.com/js/dnncore.js	D:/Users/tlilley/Projects/tampawomanhealthcenter/www.tampawomanshealthcenter.com/js/dnncore.js	(from )
12:33:57	84019/84019	---M--	200	added ('OK')	application/x-javascript	date:Fri,%2005%20Sep%202008%2019:57:51%20GMT	http://www.tampawomanshealthcenter.com/ScriptResource.axd?d=fxqzlY9ORZH5lDDSTylemR8Rl7A0yt-orV6Nvr21uAly-TbPPBVEhzXWOCjERtuoYAw0pDLd-CXm67N4WWbPpy9b0e6J9s5qldhZdcMVDSOdKF5sc_p4qZl48pbgcceKNxm-JwprJ9SJb3nHI_7k5prJgBM1&t=633562234714295160	D:/Users/tlilley/Projects/tampawomanhealthcenter/www.tampawomanshealthcenter.com/ScriptResourceb0f8.js	(from )
12:33:58	4894/4894	---M--	200	added ('OK')	application/x-javascript	etag:%222a5997699bb4c91:0%22	http://www.tampawomanshealthcenter.com/DesktopModules/JDMENU/JS/jquery.bgiframe.js	D:/Users/tlilley/Projects/tampawomanhealthcenter/www.tampawomanshealthcenter.com/DesktopModules/JDMENU/JS/jquery.bgiframe.js	(from )
12:33:58	3631/3631	---M--	200	added ('OK')	application/x-javascript	etag:%22753b98689bb4c91:0%22	http://www.tampawomanshealthcenter.com/DesktopModules/JDMENU/JS/jquery.dimensions.js	D:/Users/tlilley/Projects/tampawomanhealthcenter/www.tampawomanshealthcenter.com/DesktopModules/JDMENU/JS/jquery.dimensions.js	(from )
12:33:58	8817/8817	---M--	200	added ('OK')	application/x-javascript	etag:%225cbab8699bb4c91:0%22	http://www.tampawomanshealthcenter.com/DesktopModules/JDMENU/JS/jquery.positionBy.js	D:/Users/tlilley/Projects/tampawomanhealthcenter/www.tampawomanshealthcenter.com/DesktopModules/JDMENU/JS/jquery.positionBy.js	(from )
12:33:59	71130/71130	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Apr%202013%2016:33:56%20GMT	http://www.tampawomanshealthcenter.com/Home/tabid/37/Default.aspx	D:/Users/tlilley/Projects/tampawomanhealthcenter/www.tampawomanshealthcenter.com/Home/tabid/37/Default.html	(from )
12:34:00	68635/68635	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Apr%202013%2016:33:56%20GMT	http://www.tampawomanshealthcenter.com/About/tabid/56/Default.aspx	D:/Users/tlilley/Projects/tampawomanhealthcenter/www.tampawomanshealthcenter.com/About/tabid/56/Default.html	(from )
12:34:04	79960/79960	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Apr%202013%2016:33:58%20GMT	http://www.tampawomanshealthcenter.com/About/Forms/tabid/112/Default.aspx	D:/Users/tlilley/Projects/tampawomanhealthcenter/www.tampawomanshealthcenter.com/About/Forms/tabid/112/Default.html	(from )
12:34:05	67324/67324	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Apr%202013%2016:34:00%20GMT	http://www.tampawomanshealthcenter.com/About/InsuranceCoverage/tabid/77/Default.aspx	D:/Users/tlilley/Projects/tampawomanhealthcenter/www.tampawomanshealthcenter.com/About/InsuranceCoverage/tabid/77/Default.html	(from )
12:34:06	67142/67142	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Apr%202013%2016:34:03%20GMT	http://www.tampawomanshealthcenter.com/About/PrivacyRights/tabid/80/Default.aspx	D:/Users/tlilley/Projects/tampawomanhealthcenter/www.tampawomanshealthcenter.com/About/PrivacyRights/tabid/80/Default.html	(from )
